f,s11r,s11c,s12r,s12c,e,f,g,h
286816,-0.104471552,0.027541,0.89232576,-0.07718512,0,0,0,0
290716,-0.104543072,0.027644518,0.892416512,-0.077737072,0,0,0,0
294617,-0.104343112,0.027938346,0.89230304,-0.077957952,0,0,0,0
298517,-0.104449984,0.028070066,0.892089792,-0.078467728,0,0,0,0
302418,-0.10437,0.027992302,0.892146432,-0.078764656,0,0,0,0
306319,-0.104364136,0.028252808,0.891841088,-0.0790336,0,0,0,0
310219,-0.104497192,0.028376912,0.892080512,-0.079550344,0,0,0,0
314120,-0.104204,0.028475748,0.89199968,-0.080012448,0,0,0,0
318020,-0.104364,0.02846484,0.891853376,-0.080305752,0,0,0,0
321921,-0.104441264,0.02857814,0.891938496,-0.080483336,0,0,0,0
325821,-0.10432652,0.028826508,0.891661952,-0.080968696,0,0,0,0
329722,-0.104500296,0.028704304,0.891934784,-0.081601576,0,0,0,0
333623,-0.104471072,0.02897178,0.89159808,-0.081645328,0,0,0,0
337523,-0.104501104,0.029074524,0.891808064,-0.082098528,0,0,0,0
341424,-0.1043392,0.02904566,0.891476992,-0.082431528,0,0,0,0
345324,-0.104367832,0.028885108,0.891508224,-0.082695688,0,0,0,0
349225,-0.10433188,0.029146128,0.891679616,-0.083146032,0,0,0,0
353126,-0.104275544,0.029230474,0.89139072,-0.083434616,0,0,0,0
357026,-0.104267824,0.029313958,0.891371008,-0.083788216,0,0,0,0
360927,-0.10428792,0.029293952,0.891467968,-0.084229056,0,0,0,0
364827,-0.104366816,0.02932956,0.891335808,-0.084431656,0,0,0,0
368728,-0.10446952,0.029453176,0.891312192,-0.0848104,0,0,0,0
372629,-0.104340696,0.029590258,0.891517504,-0.085153576,0,0,0,0
376529,-0.104467856,0.029720486,0.89129856,-0.085459408,0,0,0,0
380430,-0.104317808,0.02961713,0.891336064,-0.0857832,0,0,0,0
384330,-0.104291032,0.029756378,0.890983552,-0.085890016,0,0,0,0
388231,-0.104336232,0.029769356,0.891200064,-0.086336624,0,0,0,0
392132,-0.10450712,0.029765338,0.891165056,-0.086739464,0,0,0,0
396032,-0.104350216,0.029779378,0.891573184,-0.087032304,0,0,0,0
399933,-0.104441472,0.029840254,0.89101248,-0.08730792,0,0,0,0
403833,-0.104234792,0.029906076,0.89100384,-0.087476032,0,0,0,0
407734,-0.104435328,0.02968522,0.8904304,-0.087884736,0,0,0,0
411634,-0.104331272,0.029825082,0.8907952,-0.088086024,0,0,0,0
415535,-0.104164496,0.030060286,0.890931712,-0.088495408,0,0,0,0
419436,-0.104370992,0.029849818,0.890157696,-0.088706568,0,0,0,0
423336,-0.104191512,0.029957948,0.890693632,-0.0890838,0,0,0,0
427237,-0.104270704,0.03004582,0.890563008,-0.089365256,0,0,0,0
431137,-0.104358072,0.030071112,0.890668096,-0.089659848,0,0,0,0
435038,-0.104361528,0.030057772,0.890797376,-0.089864,0,0,0,0
438939,-0.104283008,0.029985992,0.890542656,-0.090140216,0,0,0,0
442839,-0.104297968,0.030075716,0.890620864,-0.090401856,0,0,0,0
446740,-0.104186336,0.030085026,0.89075648,-0.0908764,0,0,0,0
450640,-0.104427048,0.030157728,0.890604416,-0.091145464,0,0,0,0
454541,-0.104313216,0.030088562,0.89041792,-0.091413592,0,0,0,0
458442,-0.104316088,0.03020173,0.890293568,-0.091777128,0,0,0,0
462342,-0.10428164,0.030161004,0.890675008,-0.0918904,0,0,0,0
466243,-0.104261208,0.030124408,0.890339584,-0.092119632,0,0,0,0
470143,-0.104168848,0.030194572,0.890444544,-0.092418416,0,0,0,0
474044,-0.10423324,0.03014486,0.890395392,-0.09256684,0,0,0,0
477945,-0.1043364,0.030244142,0.890166976,-0.093088488,0,0,0,0
481845,-0.104288928,0.030282282,0.890495104,-0.093388864,0,0,0,0
485746,-0.104377232,0.030174992,0.890368,-0.093669096,0,0,0,0
489646,-0.104327728,0.03021729,0.89025664,-0.093791,0,0,0,0
493547,-0.104277048,0.03030304,0.890210304,-0.094092176,0,0,0,0
497447,-0.104336712,0.030166558,0.890235264,-0.09441648,0,0,0,0
501348,-0.104199744,0.030224674,0.889891776,-0.094605344,0,0,0,0
505249,-0.104254128,0.030115956,0.890172544,-0.094812744,0,0,0,0
509149,-0.10444608,0.03015433,0.890014976,-0.095204608,0,0,0,0
513050,-0.104349216,0.030135088,0.890051456,-0.095659488,0,0,0,0
516950,-0.104500856,0.03015611,0.89018944,-0.095687144,0,0,0,0
520851,-0.104408264,0.03004704,0.889788416,-0.095880344,0,0,0,0
524752,-0.104594432,0.03024491,0.89023424,-0.096334184,0,0,0,0
528652,-0.104644992,0.030130378,0.890127104,-0.09652756,0,0,0,0
532553,-0.10440056,0.030169534,0.889771776,-0.096722104,0,0,0,0
536453,-0.10424212,0.030192468,0.889641856,-0.096882288,0,0,0,0
540354,-0.10444976,0.030055286,0.88951744,-0.097352008,0,0,0,0
544255,-0.104594736,0.030218464,0.889650432,-0.097377736,0,0,0,0
548155,-0.104440944,0.03021712,0.889642112,-0.09775604,0,0,0,0
552056,-0.104373416,0.030008654,0.889507584,-0.097886432,0,0,0,0
555956,-0.104264192,0.03011597,0.889509568,-0.098132632,0,0,0,0
559857,-0.1044074,0.03003172,0.8895888,-0.09841756,0,0,0,0
563757,-0.104473512,0.030079496,0.88926592,-0.098749536,0,0,0,0
567658,-0.104378864,0.030111572,0.889399552,-0.09903884,0,0,0,0
571559,-0.104404368,0.030041464,0.88936896,-0.09916376,0,0,0,0
575459,-0.10449848,0.0300855,0.889351488,-0.09943984,0,0,0,0
579360,-0.104541712,0.02987797,0.889274688,-0.09982828,0,0,0,0
583260,-0.104428816,0.030075952,0.889229248,-0.10006968,0,0,0,0
587161,-0.10458,0.02990175,0.889224576,-0.100320928,0,0,0,0
591062,-0.104624624,0.029956858,0.889154752,-0.100453992,0,0,0,0
594962,-0.104568056,0.029921698,0.889199744,-0.100626984,0,0,0,0
598863,-0.104438368,0.02991136,0.889197888,-0.101194752,0,0,0,0
602763,-0.104546248,0.02979432,0.889092864,-0.101250088,0,0,0,0
606664,-0.104516184,0.029912506,0.889071168,-0.10156884,0,0,0,0
610565,-0.104468552,0.02985809,0.889169856,-0.101590792,0,0,0,0
614465,-0.10451916,0.029905284,0.889039168,-0.102030976,0,0,0,0
618366,-0.104334904,0.029675262,0.888970688,-0.102237512,0,0,0,0
622266,-0.104527744,0.029828566,0.888851584,-0.102529664,0,0,0,0
