f,s11r,s11c,s12r,s12c,e,f,g,h
106808,-0.106524224,0.007662722,0.896156352,-0.042377004,0,0,0,0
107226,-0.106719248,0.007564973,0.895942464,-0.042748508,0,0,0,0
107644,-0.106639176,0.007719498,0.897009024,-0.043032528,0,0,0,0
108063,-0.106604304,0.007790568,0.89643264,-0.04298306,0,0,0,0
108481,-0.106833768,0.008172953,0.896875648,-0.043276316,0,0,0,0
108899,-0.10629412,0.008135242,0.896900224,-0.043424812,0,0,0,0
109317,-0.106595936,0.008439318,0.896725888,-0.04371048,0,0,0,0
109735,-0.106732376,0.008514745,0.896391552,-0.043782356,0,0,0,0
110154,-0.106602608,0.008651059,0.896388096,-0.043794572,0,0,0,0
110572,-0.10679208,0.008758755,0.896607552,-0.044072376,0,0,0,0
110990,-0.106661744,0.008758688,0.896517248,-0.04435092,0,0,0,0
111408,-0.106576104,0.00905532,0.89647104,-0.044480816,0,0,0,0
111826,-0.106731552,0.009197512,0.89647584,-0.04450036,0,0,0,0
112245,-0.106822216,0.009428249,0.896648,-0.044821092,0,0,0,0
112663,-0.106710736,0.009590182,0.896503552,-0.04485412,0,0,0,0
113081,-0.106640456,0.009617862,0.896322816,-0.045188988,0,0,0,0
113499,-0.106717944,0.009747538,0.89618368,-0.0452495,0,0,0,0
113917,-0.106699656,0.009789058,0.896080384,-0.045509232,0,0,0,0
114336,-0.106820624,0.009754966,0.89682016,-0.045678528,0,0,0,0
114754,-0.106747992,0.009995431,0.89640992,-0.04584344,0,0,0,0
115172,-0.106695176,0.010031825,0.896399488,-0.045722424,0,0,0,0
115590,-0.106637952,0.010335186,0.896648768,-0.046139712,0,0,0,0
116009,-0.10678584,0.010314584,0.896480768,-0.046158316,0,0,0,0
116427,-0.10667588,0.01049155,0.896616256,-0.046460332,0,0,0,0
116845,-0.10670248,0.010528162,0.896438656,-0.046673796,0,0,0,0
117263,-0.106534712,0.010662241,0.896499136,-0.046718644,0,0,0,0
117681,-0.106497008,0.010884645,0.896378432,-0.04689532,0,0,0,0
118100,-0.106620736,0.011051276,0.896498368,-0.047030308,0,0,0,0
118518,-0.10672356,0.0109658,0.896103168,-0.04711166,0,0,0,0
118936,-0.10684044,0.011187583,0.89605504,-0.04729218,0,0,0,0
118936,-0.106630312,0.011300651,0.895865344,-0.047219,0,0,0,0
119581,-0.106704496,0.011468394,0.896313664,-0.047541296,0,0,0,0
120226,-0.106611088,0.011512626,0.896488256,-0.047594236,0,0,0,0
120871,-0.10657436,0.011525715,0.896896064,-0.048134616,0,0,0,0
121516,-0.106607104,0.011727139,0.896341888,-0.048291432,0,0,0,0
122161,-0.106613336,0.011839457,0.896580608,-0.048471084,0,0,0,0
122806,-0.106777928,0.012162941,0.89619232,-0.048639452,0,0,0,0
123451,-0.106566264,0.012298086,0.896312512,-0.048838664,0,0,0,0
124096,-0.106700504,0.01235941,0.896274368,-0.049057976,0,0,0,0
124741,-0.106740608,0.012547362,0.89636352,-0.04909792,0,0,0,0
125386,-0.10659216,0.012849959,0.896172864,-0.0496156,0,0,0,0
126031,-0.10677984,0.013045025,0.896815872,-0.04992454,0,0,0,0
126676,-0.106665176,0.012926161,0.896585408,-0.049911424,0,0,0,0
127321,-0.106649336,0.013107677,0.895970496,-0.050143184,0,0,0,0
127966,-0.106623512,0.013320609,0.896590656,-0.05037746,0,0,0,0
128611,-0.106755744,0.013432436,0.89620224,-0.050554264,0,0,0,0
129256,-0.106680424,0.013614303,0.896259456,-0.05080724,0,0,0,0
129901,-0.106699176,0.013636535,0.896236096,-0.050860744,0,0,0,0
130546,-0.106637976,0.013822889,0.89623872,-0.051214752,0,0,0,0
131191,-0.10669168,0.014023252,0.896649728,-0.0514028,0,0,0,0
131836,-0.106715544,0.014106099,0.896397568,-0.051555996,0,0,0,0
132481,-0.106643408,0.014254481,0.895436224,-0.051832284,0,0,0,0
133126,-0.106699624,0.014491001,0.896518272,-0.052076812,0,0,0,0
133771,-0.106706152,0.014590916,0.896344768,-0.052116972,0,0,0,0
134416,-0.106623416,0.014647865,0.896462336,-0.052228264,0,0,0,0
135061,-0.106607432,0.014745021,0.896484672,-0.052629096,0,0,0,0
135706,-0.106737656,0.014972735,0.896552896,-0.052494484,0,0,0,0
136351,-0.106717776,0.014984245,0.896187968,-0.0529179,0,0,0,0
136996,-0.106636528,0.015323615,0.896157376,-0.053206088,0,0,0,0
137641,-0.106704296,0.015420479,0.896388928,-0.053313292,0,0,0,0
138286,-0.1065704,0.015461826,0.89595136,-0.05343452,0,0,0,0
138931,-0.106661344,0.015481269,0.896145408,-0.05371858,0,0,0,0
139576,-0.106550936,0.015658131,0.896300288,-0.053565596,0,0,0,0
140221,-0.106661856,0.015701894,0.896208704,-0.053811028,0,0,0,0
140866,-0.106756032,0.016031046,0.896314624,-0.054043892,0,0,0,0
141511,-0.106621616,0.016014234,0.896164672,-0.054277656,0,0,0,0
142156,-0.106543952,0.01627912,0.89627008,-0.054535664,0,0,0,0
142801,-0.10685532,0.016397775,0.895892096,-0.054711552,0,0,0,0
143446,-0.106376552,0.01636269,0.89573504,-0.0550069,0,0,0,0
144091,-0.106900912,0.016423537,0.895689024,-0.054991548,0,0,0,0
144736,-0.106520312,0.016820056,0.896148224,-0.0551747,0,0,0,0
145381,-0.106523152,0.016733252,0.896364352,-0.055207716,0,0,0,0
146026,-0.1065976,0.016931082,0.896433536,-0.055635128,0,0,0,0
146671,-0.106782704,0.017104428,0.896240064,-0.05570182,0,0,0,0
147316,-0.106567696,0.016976302,0.896377984,-0.055909668,0,0,0,0
147961,-0.106860848,0.017114216,0.895812544,-0.055884624,0,0,0,0
148606,-0.106511344,0.017136988,0.895906496,-0.05620108,0,0,0,0
149251,-0.106693776,0.017417168,0.896204736,-0.056232468,0,0,0,0
149896,-0.10681316,0.017626614,0.895879296,-0.056401244,0,0,0,0
150541,-0.106699352,0.01759624,0.896283264,-0.05641416,0,0,0,0
151186,-0.106597376,0.017673708,0.89612832,-0.056737068,0,0,0,0
151831,-0.106618528,0.017698604,0.895924288,-0.056962444,0,0,0,0
152476,-0.106564848,0.017756192,0.895848064,-0.056860584,0,0,0,0
153121,-0.10656468,0.017988166,0.896077376,-0.057130816,0,0,0,0
153766,-0.106589824,0.018118572,0.896001344,-0.057466364,0,0,0,0
154411,-0.106498912,0.018278028,0.896092416,-0.057325728,0,0,0,0
155056,-0.106487216,0.018320386,0.89665088,-0.057797392,0,0,0,0
155701,-0.106658456,0.01843925,0.895504512,-0.057845964,0,0,0,0
156346,-0.10674448,0.018533292,0.896429568,-0.057998556,0,0,0,0
156991,-0.10681672,0.0185496,0.895484992,-0.05803972,0,0,0,0
157636,-0.106517216,0.018540004,0.896131648,-0.058381832,0,0,0,0
158281,-0.106738504,0.018741864,0.896144448,-0.0585813,0,0,0,0
158926,-0.106495112,0.018759916,0.896213376,-0.058674772,0,0,0,0
159571,-0.106681536,0.018774018,0.89616128,-0.058738504,0,0,0,0
160216,-0.106629024,0.018896212,0.896113728,-0.0589628,0,0,0,0
160861,-0.106560592,0.018942816,0.896008384,-0.059075856,0,0,0,0
161506,-0.106560352,0.01924449,0.896134528,-0.058976172,0,0,0,0
162151,-0.106654176,0.019301482,0.895767424,-0.059176928,0,0,0,0
162796,-0.106593256,0.019312588,0.896224384,-0.059428564,0,0,0,0
163441,-0.106625808,0.019415008,0.896074688,-0.0596668,0,0,0,0
164086,-0.1066432,0.019464126,0.896158848,-0.059844284,0,0,0,0
164731,-0.106742336,0.019565316,0.896072128,-0.059944416,0,0,0,0
165376,-0.106451224,0.019700216,0.89585152,-0.0599005,0,0,0,0
166021,-0.106427272,0.019701498,0.895967424,-0.060092844,0,0,0,0
166666,-0.106456424,0.019989786,0.89576576,-0.060397484,0,0,0,0
167311,-0.106627512,0.019909738,0.8964352,-0.06032846,0,0,0,0
167956,-0.10650064,0.020012348,0.89676896,-0.060631904,0,0,0,0
168601,-0.106591184,0.020001608,0.896298624,-0.060552152,0,0,0,0
169246,-0.106654096,0.020217014,0.896260864,-0.06068368,0,0,0,0
169891,-0.106498424,0.020162118,0.89603904,-0.06081132,0,0,0,0
170536,-0.10652644,0.020163376,0.895665024,-0.060999836,0,0,0,0
171181,-0.106539112,0.020374006,0.895883648,-0.061191344,0,0,0,0
171826,-0.106481552,0.02041731,0.89600672,-0.061211548,0,0,0,0
172471,-0.106561272,0.020626536,0.8961056,-0.061418428,0,0,0,0
173116,-0.106478656,0.020655016,0.895877376,-0.06158656,0,0,0,0
173761,-0.106507856,0.02072725,0.895465344,-0.06201036,0,0,0,0
174406,-0.106485744,0.020696166,0.895688128,-0.061798504,0,0,0,0
175051,-0.106671048,0.02087144,0.895912896,-0.062032128,0,0,0,0
175696,-0.106633304,0.020994306,0.895796352,-0.061997092,0,0,0,0
176341,-0.106562944,0.021070594,0.896089088,-0.062196704,0,0,0,0
176986,-0.106548296,0.020917348,0.895929856,-0.062316936,0,0,0,0
177631,-0.106527192,0.021214836,0.896150784,-0.062334748,0,0,0,0
178276,-0.106517256,0.021193018,0.89566752,-0.062633992,0,0,0,0
178921,-0.106658304,0.021355628,0.895602432,-0.062701436,0,0,0,0
179566,-0.106701488,0.021462468,0.895981184,-0.062757524,0,0,0,0
180211,-0.10670976,0.021380386,0.896745664,-0.063009224,0,0,0,0
180856,-0.10669196,0.021504296,0.895425408,-0.062981932,0,0,0,0
181501,-0.106654224,0.02165861,0.8962128,-0.063065856,0,0,0,0
182146,-0.106510896,0.0216237,0.895809728,-0.063322856,0,0,0,0
182791,-0.10652816,0.021691372,0.89563136,-0.063347892,0,0,0,0
183436,-0.106544896,0.02185738,0.8958704,-0.063421124,0,0,0,0
183436,-0.106337032,0.021766476,0.895835264,-0.063532636,0,0,0,0
184431,-0.106574328,0.021912238,0.895961472,-0.063695148,0,0,0,0
185426,-0.106406472,0.022080428,0.895530688,-0.063867616,0,0,0,0
186420,-0.106472408,0.022183368,0.895785728,-0.064011724,0,0,0,0
187415,-0.10655072,0.022054382,0.89599392,-0.064169756,0,0,0,0
188410,-0.106504904,0.022234866,0.895903232,-0.064461256,0,0,0,0
189405,-0.106620192,0.022318576,0.895908864,-0.064552656,0,0,0,0
190400,-0.106437688,0.022362942,0.895949632,-0.06479326,0,0,0,0
191394,-0.10668816,0.02237517,0.89616928,-0.065068908,0,0,0,0
192389,-0.106452904,0.02258103,0.894889216,-0.06504976,0,0,0,0
193384,-0.10639328,0.02274681,0.8956192,-0.065244504,0,0,0,0
194379,-0.106427296,0.022786302,0.895685952,-0.065480784,0,0,0,0
195373,-0.10652428,0.022816164,0.895597312,-0.065610864,0,0,0,0
196368,-0.106569816,0.022821462,0.895863232,-0.065893428,0,0,0,0
197363,-0.106357616,0.02301404,0.895463808,-0.066120848,0,0,0,0
198358,-0.106547928,0.02302277,0.895536704,-0.06598206,0,0,0,0
199353,-0.106517392,0.023184352,0.895884544,-0.06635572,0,0,0,0
200347,-0.106422696,0.02315618,0.895585664,-0.066450448,0,0,0,0
201342,-0.106558328,0.023475524,0.895724736,-0.066568144,0,0,0,0
202337,-0.1062702,0.023505632,0.895535296,-0.066495032,0,0,0,0
203332,-0.106645424,0.023540302,0.895427584,-0.066899108,0,0,0,0
204327,-0.10654716,0.023596102,0.896301184,-0.067253832,0,0,0,0
205321,-0.106378184,0.023560086,0.895964224,-0.06718312,0,0,0,0
206316,-0.106305544,0.02377635,0.895628736,-0.067333072,0,0,0,0
207311,-0.106426776,0.023688808,0.895838528,-0.067553072,0,0,0,0
208306,-0.106549944,0.02391295,0.895522368,-0.06774024,0,0,0,0
209301,-0.106473904,0.023908706,0.895883904,-0.067800296,0,0,0,0
210295,-0.106445432,0.023922208,0.89574144,-0.06792952,0,0,0,0
211290,-0.106471968,0.024014294,0.895509696,-0.068148936,0,0,0,0
212285,-0.106607568,0.024267272,0.89572416,-0.068052192,0,0,0,0
213280,-0.106393784,0.02423624,0.895416512,-0.068484232,0,0,0,0
214274,-0.106470256,0.024318398,0.89552576,-0.06855964,0,0,0,0
215269,-0.10635056,0.024484148,0.89485952,-0.068535936,0,0,0,0
216264,-0.106381168,0.024284914,0.89553696,-0.068878064,0,0,0,0
217259,-0.10628596,0.024536994,0.895647296,-0.068906464,0,0,0,0
218254,-0.10638252,0.02451878,0.89548704,-0.068820104,0,0,0,0
219248,-0.106351808,0.024561002,0.895325184,-0.06931688,0,0,0,0
220243,-0.1062796,0.024595524,0.89539904,-0.069445576,0,0,0,0
221238,-0.106534184,0.024668132,0.895478336,-0.06951668,0,0,0,0
222233,-0.106473136,0.024783262,0.895556288,-0.069434096,0,0,0,0
223228,-0.106494832,0.024833328,0.895406336,-0.069709976,0,0,0,0
224222,-0.106257224,0.024976266,0.895265024,-0.069939672,0,0,0,0
225217,-0.106357112,0.025019152,0.89565728,-0.070256008,0,0,0,0
226212,-0.106413328,0.02497831,0.895311552,-0.070162576,0,0,0,0
227207,-0.106408928,0.025169128,0.895961472,-0.070351176,0,0,0,0
228202,-0.106344472,0.025189584,0.89543808,-0.070412656,0,0,0,0
229196,-0.106280096,0.025201106,0.895148032,-0.070630464,0,0,0,0
230191,-0.1063614,0.025273512,0.895243456,-0.070437792,0,0,0,0
231186,-0.106429592,0.025345374,0.89554944,-0.070729368,0,0,0,0
232181,-0.106528008,0.025466654,0.895165632,-0.071046136,0,0,0,0
233176,-0.106391552,0.02536309,0.895468032,-0.07109724,0,0,0,0
234170,-0.10631516,0.025445552,0.89570912,-0.071265856,0,0,0,0
235165,-0.106336784,0.025581242,0.895281728,-0.071361928,0,0,0,0
236160,-0.106392696,0.025665122,0.89530176,-0.07154964,0,0,0,0
237155,-0.106197352,0.02578402,0.895093888,-0.071567536,0,0,0,0
238149,-0.106357928,0.025516286,0.8952352,-0.071782976,0,0,0,0
239144,-0.106170856,0.025611628,0.895037952,-0.071712544,0,0,0,0
240139,-0.106265864,0.025768946,0.895777536,-0.0721146,0,0,0,0
241134,-0.106544416,0.025906378,0.895204608,-0.072137576,0,0,0,0
242129,-0.106369976,0.025875416,0.895211968,-0.07238412,0,0,0,0
243123,-0.106420168,0.026010172,0.89489664,-0.07223264,0,0,0,0
244118,-0.106336616,0.025947698,0.894809024,-0.072361416,0,0,0,0
245113,-0.106396496,0.025902918,0.895155904,-0.07258624,0,0,0,0
246108,-0.10616324,0.026098586,0.894809216,-0.072734056,0,0,0,0
247103,-0.106391704,0.026251742,0.895077504,-0.072867192,0,0,0,0
248097,-0.106379056,0.026288062,0.895069696,-0.072975416,0,0,0,0
249092,-0.10639312,0.026299674,0.894804864,-0.073139016,0,0,0,0
250087,-0.106529592,0.026206302,0.895039232,-0.07330896,0,0,0,0
251082,-0.106292696,0.02638466,0.894395264,-0.073194808,0,0,0,0
